"Common Name","Soil Requirement"
"Lespedeza","Flourishes on acid soils deficient in calcium, although best yields are obtained in neighborhood of neutrality; it is good for restoring crumb structure of eroded soils."
"Lime","All kinds of soils except dry sands, highly calcareous soils and heavy clays."
"Linseed","Grows best on sandy loam calcareous soils with high contents of phosphate and potash; also grown on poorer soils if sub-soil permits deep penetration of roots. Soil reaction should be maintained by liming."
"Lucerne","Grows best on well-drained light or medium-textured soils with high calcium content; it thrives even on shallow soils which are often stony. Can survive long droughts."
"Mango","Grows best on rich, deep alluvial loams with good drainage; flourishes on most soils which are not too shallow; high nitrogen content combined with uniform distribution of rainfall or a regular supply of water from water table and uniform high temperature result in non-bearing trees."
"Millet","Well-drained, light to medium textured soils; more resistant to drought than corn."
"Mongo","Light to medium-textured soils with good aeration are best suited."
"Muskmelon","Loamy or alluvial soils rich in organic matter and well-drained."
"Mustard","Sandy loam, silt loam, clay loam soils well-supplied with organic matter, well-drained but retentive of moisture."
"Okra","Fertile, well-drained sandy loam and clay loam soils."
"Onion, Bulb","Fertile, well-drained sandy loam or alluvial soil."
"Orange","Fine sandy loam or deep, loose, well-aerated soils free from stagnant water to a depth of 6 ft."
"Palm, Date","Flourishes on clay as well as sand; it can tolerate 1-3 per cent salt content (organic manures or residues to cover soil surface reduces salt concentrations at the soil surface.)"
"Papaya","Does best on well-drained, deep soils; it can not tolerate water-logging and soil compaction; it reacts well to a good supply of farm manure, compost or green manures."
"Parsnip","Heavy soil neutral in pH or reaction."
"Patani (Lima Bean)","See bean, lima."
"Patola","Well-drained loamy soil or alluvial soil rich in organic matter."
"Peanut","Well-drained aerated soils with adequate water holding capacity like sandy loam are very suitable."
"Peas, Sweet","Fertile sandy soil or clay loam."
"Pechay","Sandy loam, silt loam and clay loam soils well-supplied with organic matter, well-drained but retentive of moisture."
"Pepper, Sweet","Well-drained light to medium textured soils."
"Pepper, Black","Well-drained light to medium-textured soils rich in organic matter."
"Pineapple","Well-drained and aerated light to moderately heavy soil with good amount of organic matter are best; heavy soils in regions of high rainfall should be on gentle slopes; calcium content of the soil must be high; calcareous soils are not suitable owing to development of calcium chlorosis due to lack of iron."
"Potatoes","Well-aerated sandy loams; good crop produced from deep, rich, well-drained friable clay, silt or sandy loam. Above pH 6.0, it is liable to suffer from scab. pH of soils must be 5.3 or 5.5; controlled by application of sulfur in the row."
"Potatoes, Sweet","See Camote"
"Radish","All types of soil, but light, friable loam is best."
"Rambutan","Deep not too heavy well-drained soils, rich in nutrients."
"Ramie","Requires deep, well-aerated soil free from water logging down to sub-soil; requires adequate and uniform water supply throughout the year."
"Rice, Lowland","Heavy textured soil with impervious layer below the plow-sole is best suited; generally grows from heavy clay to poor sand, in dry and flooded field or in fresh or brackish water depending upon suitable varieties for conditions."
"Rice, Upland","Medium to heavy textured soils with good water holding capacity."
"Rose","Light to medium-textured, deep and well-drained soils with liberal quantities of organic matter."
"Rubber","Permeable and well-aerated soils so that roots have good access to ground water are suitable; grows as high as 2,000 ft. in elevation needs 60 inches of rainfall uniformly distributed throughout the year."
"Santol","Light to medium-textured, deep and well-drained soils are best suited."
"Seguidillas (Winged Beans)","See beans, winged."
"Sincamas","Light sandy to sandy loam soils."
"Sisal or Maguey","Deep sandy soils, sandy loam, and organic loam with adequate calcium content."
"Sitao","See beans, string."
"Squash","Well-drained loamy soils or alluvial soils rich in organic matter."
"Strawberry","Well-drained, free from water-logging, and fertile soils with fair amount of humus are best suited."
"Sorghum","Similar to corn, although because of its well-developed root system, it is more in a position to satisfy its water and nutrient requirement. Sorghum has a very exhausting effect on the soil."
"Soybean","Deep, well-drained, fertile clay loam or sandy loam with high calcium content. Loam or sandy loam are best suited."
"Spinach or Kulitis","Deep permeable soil such as well-drained light sandy soil, alluvial soils and volcanic soils are best suited."
"Sugarcane","The high nutrient requirement of sugarcane results in a rapid impoverishment of the soil, so adequate fertilizer treatment is important."
"Tapilan","Thrives well on light to medium-textured well-aerated soils."
"Tea","Thrives well on light to medium-textured well-aerated soils."
"Tobacco","According to variety, well-drained light to heavy soils, with good water supply are suitable; above pH 6.0, tobacco is often attacked by 'black-root-rot', while below pH 4.5, manganese toxicity can be a problem, about 2 per cent of chlorides in fertilizer mixture is used to improve yield, color, combustibility, and elasticity of tobacco. Sulfate form of potash is good for improving quality and combustibility."
"Tomato","Silt loam, clay loam, loam are ideal soils for large yield. Sand or sandy loam are preferred where growing season is short and earliness is desired."
"Trees","See Forest Trees."
"Tugui (Yam)","Sandy soil with loamy permeable sub-soil."
"Ubi","Sandy soil with loamy permeable sub-soil."
"Upo","Good water-holding capacity of soil; often grown on soils of volcanic origin and also on soils weathered in a lateritic direction; abundant water supply."
"Watermelon","Well-drained loamy or alluvial soils rich in organic matter."
"Wheat","Moderately heavy to heavy soils with a good calcium and humus status are particularly suitable. Light and acid soils preclude its cultivation."
"Yam","See Tugui."
