Crop,Category,Soil Type,Planting Period,Yield Per Hectare,Soil_pH_Min,Soil_pH_Max,Days_to_Harvest_Min,Days_to_Harvest_Max
Mint,Vegetables,"Loam, Clay loam",All season,2-3 tons,6.0,7.0,60.0,90.0
Miracle fruit,Fruit Trees,"Sandy loam, Loam",All season,3-5 tons,5.5,7.0,360.0,540.0
Mongo,Vegetables,Loam,July-Sep,1-1.5 tons,5.5,6.5,65.0,72.0
Mulberry,Fruit Trees,"Sandy loam, Loam",All season,8-12 tons,5.5,7.5,180.0,240.0
Mustard,Vegetables,Sandy loam,May-Oct,5-8 tons,5.8,7.5,40.0,50.0
Okra,Fruit Vegetables,Sandy loam,May-Oct,5-8 tons,6.0,8.0,50.0,60.0
Orange,Fruit Trees,"Sandy loam, Clay loam",All season,8-15 tons,5.0,7.0,240.0,300.0
Oregano,Vegetables,"Sandy loam, Loam",All season,1.5-2 tons,6.0,7.5,60.0,90.0
Pakwan,Fruits,Sandy loam,April-Aug,25-40 tons,6.0,7.0,75.0,90.0
Paminta,Plantation Crops,Sandy loam,All season,1.5-3 tons,5.5,6.5,180.0,240.0
Pandan,,"Loamy, Moderately fertile",Year-round,6-39 tons,6.5,7.5,180.0,240.0
Papaya,Fruits,Loam,All season,20-30 tons,5.8,7.0,240.0,300.0
Parsley,Vegetables,"Sandy loam, Loam",All season,2-3 tons,5.0,7.0,70.0,90.0
Passion fruit,Fruits,"Sandy loam, Clay loam",All season,8-12 tons,5.5,7.0,180.0,240.0
Patani,Vegetables,Sandy loam,May-Oct,1.5-2.5 tons,5.5,6.5,80.0,100.0
Patatas,Root Crops,"Sandy loam, Loam",Oct-Dec,15-25 tons,4.8,6.5,90.0,120.0
Patola,Fruit Vegetables,"Sandy loam, Loam",All season,10-15 tons,6.0,7.0,60.0,70.0
Pechay,Vegetables,"Sandy loam, Loam, Clay loam",May-Aug,8-12 tons,6.0,6.5,40.0,50.0
Peras,Fruit Trees,"Sandy loam, Loam",Oct-Mar,10-15 tons,6.0,7.5,120.0,180.0
Persimmon,Fruit Trees,"Loam, Clay loam",All season,8-12 tons,6.0,7.5,180.0,240.0
Pili,Fruit Trees,"Deep clay loam, Loam",All season,2-4 tons,5.5,7.0,720.0,1080.0
Pineapple fiber,Plantation Crops,"Sandy loam, Loam",All season,2-3 tons,5.0,6.5,540.0,600.0
Pinya,Fruits,"Sandy loam, Loam",All season,25-40 tons,5.0,6.5,540.0,600.0
Pipino,Fruit Vegetables,Sandy loam,All season,8-12 tons,6.0,8.0,50.0,70.0
Pomelo,,"Deep loamy, Well-drained",Year-round,20-38 tons,5.5,6.5,,
Radish,Root Crops,Sandy loam,Oct-Feb,8-12 tons,5.2,6.7,30.0,45.0
Rambutan,Fruit Trees,Loam,May-Sep,6-10 tons,5.5,6.5,240.0,300.0
Red beans,Vegetables,"Loam, Clay loam",May-Aug,1-2 tons,6.0,7.0,90.0,120.0
Repolyo,Vegetables,"Loam, Clay loam",Oct-Mar,20-30 tons,6.0,7.5,55.0,120.0
Rice,,"Various, Well-drained",Jun-Aug; Nov-Jan; Apr-Jun,3.4-9.8 tons,6.0,7.0,106.0,120.0
Rimas,Fruit Trees,"Sandy loam, Clay loam",All season,8-12 tons,6.1,7.4,180.0,270.0
Saging,Fruits,Loam,All season,10-15 tons,6.0,7.5,270.0,360.0
Saluyot,Vegetables,"Sandy loam, Loam",All season,2-3 tons,5.5,7.0,30.0,45.0
Santol,Fruit Trees,"Clay loam, CLAY",July-Sep,8-12 tons,5.5,7.0,180.0,270.0
Seleri,Vegetables,Sandy loam,Oct-Feb,10-15 tons,6.0,7.0,80.0,120.0
Sibuyas,Vegetables,Sandy loam,Oct-Dec,10-15 tons,5.8,6.5,120.0,150.0
Sigarilyas,,"Friable loam, Rich organic matter",June-July; April (upland),5-6 tons,6.0,6.5,60.0,90.0
Siling,Fruit Vegetables,Sandy loam,May-Dec,5-10 tons,5.8,6.8,60.0,90.0
Sineguelas,Fruit Trees,"Sandy loam, Loam",Mar-July,5-8 tons,5.5,7.0,120.0,180.0
Singkamas,Root Crops,"Sandy loam, Loam",Mar-May,10-15 tons,5.5,7.0,80.0,120.0
Sitao,Vegetables,"Loam, Clay loam",May-Aug,2-4 tons,5.0,6.0,60.0,80.0
Sitaw,Vegetables,"Silt loam, Loam",May-Oct,1.5-3 tons,5.0,6.5,50.0,70.0
Sorghum,Corn,Sandy loam,April-July,2-3 tons,6.0,7.5,90.0,120.0
Soybeans,Vegetables,"Loam, Clay loam",May-Aug,1.5-2.5 tons,6.0,7.0,90.0,120.0
Spinach,Vegetables,Sandy loam,Oct-Mar,5-8 tons,6.5,7.0,40.0,50.0
Spring onion,Vegetables,"Sandy loam, Loam",All season,3-5 tons,6.0,7.0,60.0,90.0
Squash,,"Sandy loam, Clay loam",Oct-Dec; May-Jul (hilly),25-35 tons,6.0,6.7,,
Starapple,Fruit Trees,"Sandy loam, Clay loam",All season,8-12 tons,5.5,7.0,240.0,300.0
Sweet peas,Vegetables,"Silt loam, Loam",Oct-Jan,1.5-2.5 tons,6.0,7.5,60.0,70.0
Talong,Fruit Vegetables,Sandy loam,All season,9-15 tons,6.0,7.5,90.0,120.0
Tambis,Fruit Trees,"Sandy loam, Deep loam",Jun-Aug,4-6 tons,5.5,7.0,180.0,240.0
Tanglad,Grasses,"Sandy loam, Loam",All season,3-5 tons,6.0,7.5,120.0,180.0
Tubo,Plantation Crops,Clay loam,All season,50-80 tons,6.0,8.0,365.0,540.0
Ubi,,"Sandy loam, Silt loam",Mar-May; Feb-Mar,10-56 tons,4.5,6.5,300.0,330.0
Upo,Fruit Vegetables,Sandy loam,All season,8-15 tons,5.5,7.0,60.0,90.0
Uvas,Fruits,"Sandy loam, Loam",All season,8-12 tons,6.0,7.0,150.0,180.0
Wonder beans,Vegetables,"Sandy loam, Loam",May-Aug,2-3 tons,5.5,6.5,60.0,90.0
Yam beans,Vegetables,"Silt loam, Silt loam",All season,3-5 tons,6.0,7.0,150.0,180.0
Zapote,Fruit Trees,"Sandy loam, Clay loam",Aug-Dec,10-15 tons,6.0,7.5,270.0,360.0
Zucchini,Fruit Vegetables,"Sandy loam, Loam",All season,12-18 tons,5.5,7.0,50.0,65.0
